gvkey,capex_m_lag_w,roaq_lag_w,bk_leverage_lag_w,ppe_lag_w,logatq_lag_w,tobin_q_w,qtr,tran_risk_w_std,tran_risk_pro_w_std,tran_risk_npro_w_std,phy_risk_acute_w_std,phy_risk_chronic_w_std,ticker,company_name,industry_naics
1004,.775369547474381,.0917265982060429,.2851820263051578,.1770435875566728,7.708725,1.042454962976849,1,0,0,0,0,0,AIR,AAR CORP,42
1004,2.169837847970756,.0322139076473809,.1016501650165016,.1947194719471947,7.3231707,.9343730480868667,3,0,0,0,0,0,AIR,AAR CORP,42
1004,.9900990099009901,.0292505475197664,.1160160289555326,.1916365046535677,7.344202,.9309791737260524,4,0,0,0,0,0,AIR,AAR CORP,42
1045,12.02318158150907,.1505151458008331,.409037947499486,.5273811427657582,10.686727,1.724105248320999,1,.3921524,0,.4269498,0,0,AAL,AMERICAN AIRLINES GROUP INC,48
1045,3.219026295949373,.1711352355914149,.4047140351627668,.514223381956624,10.752655,1.489919595867803,2,0,0,0,0,0,AAL,AMERICAN AIRLINES GROUP INC,48
1045,6.713864054412457,.1785091555298063,.3926213754491518,.5282861201637837,10.776202,1.432995866570871,3,.1990049,0,.21666346,0,2.0287845,AAL,AMERICAN AIRLINES GROUP INC,48
1045,9.653630818083062,.1907036359453567,.4220671251154675,.5397105614287181,10.793742,1.429985370236497,4,.9173774099999999,0,.99878031,0,0,AAL,AMERICAN AIRLINES GROUP INC,48
1050,.3283393048677514,.1040539385219518,.2713260048507958,.0457591736753828,6.0267472,1.17644273982579,1,.29498255,0,.32115763,0,0,CECO,CECO ENVIRONMENTAL CORP,33
1050,.0287186417771771,.0960156168299229,.2704777829949117,.0424959513976063,6.034112,1.220509501105003,2,1.0074388,0,1.0968332,0,0,CECO,CECO ENVIRONMENTAL CORP,33
1050,.0816907346895752,.0968197940461922,.2680081873393786,.0411886519444931,6.032465,.9838253300763735,3,1.3196908,2.5607424,1.0775945,0,0,CECO,CECO ENVIRONMENTAL CORP,33
1072,.7932529964640667,.104459250799009,0,.0867670272142372,7.7841702,1.106684302454438,1,0,0,0,0,0,AVX,AVX CORP,33
1072,1.107243476175887,.1061222264261047,0,.0812691260525048,7.8075161,1.042799719131699,2,0,0,0,0,0,AVX,AVX CORP,33
1072,.2789734914183118,.1023052932351293,0,.0857839234911332,7.7590742,1.010684166812842,3,0,0,0,0,0,AVX,AVX CORP,33
1072,.8051700256324339,.0956935311193762,0,.0865638017063382,7.7689075,.9512915986138472,4,0,0,0,0,0,AVX,AVX CORP,33
1075,6.624234246529485,.0899576548831608,.2488683436065955,.782080202147171,9.568960199999999,.9929920454861116,1,3.4542091,0,3.7607162,0,0,PNW,PINNACLE WEST CAPITAL CORP,22
1075,1.78332643543187,.08949516617608,.2569593597208255,.7844963283048979,9.577459299999999,.9401787418316916,2,4.9797897,0,5.4216681,0,0,PNW,PINNACLE WEST CAPITAL CORP,22
1075,3.737767395186781,.0876102226342124,.2602512957366274,.7802749559347176,9.595704100000001,.9727417190352307,3,2.7907774,0,3.0384152,0,0,PNW,PINNACLE WEST CAPITAL CORP,22
